date,close,volume,open,high,low
2/2/15,100.83,8990048,100.49,100.85,99.38
1/30/15,100.14,10671870,101.58,102,100.09
1/29/15,102.38,7561790,101.51,102.46,100.67
1/28/15,101.48,9049385,102.48,102.93,101.44
1/27/15,102.09,10159820,101.83,102.7671,100.93
1/26/15,102.26,8962530,101.8,102.45,101.21
1/23/15,102.2,10119020,102.94,102.97,101.9397
1/22/15,103.76,9032598,102.39,103.83,101.57
1/21/15,101.9,11702100,100.56,102.1,100.4
1/20/15,101.29,20465480,101.55,102.05,100.26
1/16/15,104.04,14088620,102.06,104.62,102
1/15/15,102.49,10834110,102.97,103.93,101.95
1/14/15,104,8885982,103.86,104.43,103.51
1/13/15,104.76,10154740,105.44,106.33,104.24
1/12/15,104.58,6838916,105.17,105.82,104.3
1/9/15,104.94,7360742,106.5,106.5,104.75
1/8/15,106.39,9923009,106.06,106.49,105.75
1/7/15,105.56,7925385,103.91,105.83,103.81
1/6/15,103.28,7427352,104.34,104.99,102.94
1/5/15,103.79,8076175,104.48,104.73,103.682
1/2/15,104.52,5755231,105.05,105.55,104.13
12/31/14,104.57,6196822,105.61,106.11,104.54
12/30/14,105.36,4371675,105.42,105.8,105.06
12/29/14,105.33,4273424,104.64,105.69,104.61
12/26/14,105.06,2950901,105.07,105.69,104.69
12/24/14,104.59,3420184,104.38,105.33,104.38
12/23/14,104.28,10180780,106.66,106.91,103.92
12/22/14,106.74,8118626,105.69,106.83,105.67
12/19/14,105.55,19144960,106.63,107.39,105.5
12/18/14,106.81,11732160,105.62,106.82,104.74
12/17/14,104.07,10199340,103.27,104.49,102.7
12/16/14,102.76,10212040,103.48,105.21,102.5
12/15/14,103.96,12098190,104.77,105.06,103.63
12/12/14,104.43,8326941,106.65,106.87,104.39
12/11/14,106.72,7114625,105.85,107.305,105.36
12/10/14,106.24,9416012,107.61,107.96,106.15
12/9/14,108.05,7200268,108.22,108.47,106.89
12/8/14,108.52,6500691,108.42,108.88,108.1405
12/5/14,108.51,6447864,107.53,108.74,107.221
12/4/14,107.56,6701083,108.09,108.3,107.38
12/3/14,107.72,8956236,108.54,108.99,107.65
12/2/14,108.51,6184380,107.97,108.53,107.5
12/1/14,108.03,5638329,107.89,108.813,107.35
11/28/14,108.25,5881239,107.61,108.82,107.33
11/26/14,107.21,5503696,106.77,107.25,106.6
11/25/14,106.7,7362400,106.98,107.19,106.7
11/24/14,106.88,9097692,107.92,108.23,106.64
11/21/14,107.86,8416498,108.73,108.73,107.62
11/20/14,108.18,8085591,108.55,108.57,107.69
11/19/14,108.76,5217779,108.45,108.81,108.1
11/18/14,108.83,5407151,108.13,109.06,107.72
11/17/14,108.3,5230090,108,108.69,107.61
11/14/14,108.16,5650629,108.92,109.06,108.01
11/13/14,109.07,4859340,109.05,109.49,108.5
